language,en-US,AAPL
triggerable,True,AMC
currency,USD,AMC
exchange,NYQ,AMC
shortName,"AMC Entertainment Holdings, Inc",AMC
longName,"AMC Entertainment Holdings, Inc.",AMC
messageBoardId,finmb_34874958,AMC
exchangeTimezoneName,America/New_York,AMC
exchangeTimezoneShortName,EST,AMC
gmtOffSetMilliseconds,-18000000,AMC
market,us_market,AMC
esgPopulated,False,AMC
tradeable,False,AMC
firstTradeDateMilliseconds,1387377000000,AMC
priceHint,2,AMC
postMarketChangePercent,-0.30503032,AMC
postMarketTime,1645051755,AMC
postMarketPrice,19.61,AMC
postMarketChange,-0.059999466,AMC
regularMarketChange,0.190001,AMC
regularMarketChangePercent,0.975362,AMC
regularMarketTime,1645045202,AMC
regularMarketPrice,19.67,AMC
regularMarketDayHigh,20.58,AMC
regularMarketDayRange,19.26 - 20.58,AMC
regularMarketDayLow,19.26,AMC
regularMarketVolume,49262287,AMC
regularMarketPreviousClose,19.48,AMC
bid,19.79,AMC
ask,19.58,AMC
bidSize,10,AMC
askSize,22,AMC
fullExchangeName,NYSE,AMC
financialCurrency,USD,AMC
regularMarketOpen,19.35,AMC
averageDailyVolume3Month,49080608,AMC
averageDailyVolume10Day,52998730,AMC
fiftyTwoWeekLowChange,14.35,AMC
fiftyTwoWeekLowChangePercent,2.6973684,AMC
fiftyTwoWeekRange,5.32 - 72.62,AMC
fiftyTwoWeekHighChange,-52.950005,AMC
fiftyTwoWeekHighChangePercent,-0.729138,AMC
fiftyTwoWeekLow,5.32,AMC
fiftyTwoWeekHigh,72.62,AMC
dividendDate,1584921600,AMC
earningsTimestamp,1643699580,AMC
earningsTimestampStart,1646773200,AMC
earningsTimestampEnd,1647291600,AMC
trailingAnnualDividendRate,0.0,AMC
trailingAnnualDividendYield,0.0,AMC
epsTrailingTwelveMonths,-5.376,AMC
epsForward,-0.75,AMC
epsCurrentYear,-2.77,AMC
priceEpsCurrentYear,-7.1010833,AMC
sharesOutstanding,513329984,AMC
bookValue,-3.2,AMC
fiftyDayAverage,22.3468,AMC
fiftyDayAverageChange,-2.6767998,AMC
fiftyDayAverageChangePercent,-0.11978448,AMC
twoHundredDayAverage,34.3537,AMC
twoHundredDayAverageChange,-14.683699,AMC
twoHundredDayAverageChangePercent,-0.427427,AMC
marketCap,10097201152,AMC
forwardPE,-26.226667,AMC
priceToBook,-6.146875,AMC
sourceInterval,15,AMC
exchangeDataDelayedBy,0,AMC
pageViewGrowthWeekly,0.012922569,AMC
averageAnalystRating,3.9 - Underperform,AMC
marketState,POST,AMC
displayName,AMC Entertainment,AMC
symbol,AMC,AMC
language,en-US,AMD
region,US,AMD
quoteType,EQUITY,AMD
quoteSourceName,Nasdaq Real Time Price,AMD
triggerable,True,AMD
currency,USD,AMD
firstTradeDateMilliseconds,322151400000,AMD
priceHint,2,AMD
postMarketChangePercent,-0.8836782,AMD
postMarketTime,1645051780,AMD
postMarketPrice,116.65,AMD
postMarketChange,-1.0400009,AMD
regularMarketChange,-3.7799988,AMD
regularMarketChangePercent,-3.1118784,AMD
regularMarketTime,1645045203,AMD
regularMarketPrice,117.69,AMD
regularMarketDayHigh,119.54,AMD
regularMarketDayRange,114.23 - 119.54,AMD
regularMarketDayLow,114.23,AMD
regularMarketVolume,117847066,AMD
regularMarketPreviousClose,121.47,AMD
bid,117.74,AMD
ask,116.9,AMD
bidSize,9,AMD
askSize,9,AMD
fullExchangeName,NasdaqGS,AMD
financialCurrency,USD,AMD
regularMarketOpen,119.05,AMD
averageDailyVolume3Month,74615104,AMD
averageDailyVolume10Day,118186150,AMD
fiftyTwoWeekLowChange,45.190002,AMD
fiftyTwoWeekLowChangePercent,0.6233104,AMD
marketState,POST,AMD
fiftyTwoWeekRange,72.5 - 164.46,AMD
fiftyTwoWeekHighChange,-46.770004,AMD
fiftyTwoWeekHighChangePercent,-0.28438526,AMD
fiftyTwoWeekLow,72.5,AMD
fiftyTwoWeekHigh,164.46,AMD
earningsTimestamp,1643732100,AMD
earningsTimestampStart,1650884340,AMD
earningsTimestampEnd,1651233600,AMD
trailingAnnualDividendRate,0.0,AMD
trailingPE,45.793777,AMD
trailingAnnualDividendYield,0.0,AMD
epsTrailingTwelveMonths,2.57,AMD
epsForward,4.62,AMD
epsCurrentYear,3.99,AMD
priceEpsCurrentYear,29.49624,AMD
sharesOutstanding,1199299968,AMD
bookValue,6.211,AMD
fiftyDayAverage,131.8488,AMD
fiftyDayAverageChange,-14.158798,AMD
fiftyDayAverageChangePercent,-0.10738663,AMD
twoHundredDayAverage,111.59355,AMD
twoHundredDayAverageChange,6.096451,AMD
twoHundredDayAverageChangePercent,0.054630853,AMD
marketCap,141145620480,AMD
forwardPE,25.474028,AMD
priceToBook,18.94864,AMD
sourceInterval,15,AMD
exchangeDataDelayedBy,0,AMD
pageViewGrowthWeekly,-0.22759457,AMD
averageAnalystRating,2.2 - Buy,AMD
tradeable,False,AMD
exchange,NMS,AMD
shortName,"Advanced Micro Devices, Inc.",AMD
longName,"Advanced Micro Devices, Inc.",AMD
messageBoardId,finmb_168864,AMD
exchangeTimezoneName,America/New_York,AMD
exchangeTimezoneShortName,EST,AMD
gmtOffSetMilliseconds,-18000000,AMD
market,us_market,AMD
esgPopulated,False,AMD
displayName,Advanced Micro Devices,AMD
symbol,AMD,AMD
language,en-US,AMZN
region,US,AMZN
quoteType,EQUITY,AMZN
quoteSourceName,Nasdaq Real Time Price,AMZN
triggerable,True,AMZN
currency,USD,AMZN
marketState,POST,AMZN
firstTradeDateMilliseconds,863703000000,AMZN
priceHint,2,AMZN
postMarketChangePercent,0.8693834,AMZN
postMarketTime,1645051790,AMZN
postMarketPrice,3189.5,AMZN
postMarketChange,27.48999,AMZN
regularMarketChange,31.800049,AMZN
regularMarketChangePercent,1.0159079,AMZN
regularMarketTime,1645045203,AMZN
regularMarketPrice,3162.01,AMZN
regularMarketDayHigh,3176.1697,AMZN
regularMarketDayRange,3095.0 - 3176.1697,AMZN
regularMarketDayLow,3095.0,AMZN
regularMarketVolume,2533754,AMZN
regularMarketPreviousClose,3130.21,AMZN
bid,3162.38,AMZN
ask,3160.0,AMZN
bidSize,13,AMZN
askSize,8,AMZN
fullExchangeName,NasdaqGS,AMZN
financialCurrency,USD,AMZN
regularMarketOpen,3115.81,AMZN
averageDailyVolume3Month,3754659,AMZN
averageDailyVolume10Day,5490460,AMZN
fiftyTwoWeekLowChange,454.96997,AMZN
fiftyTwoWeekLowChangePercent,0.16806917,AMZN
fiftyTwoWeekRange,2707.04 - 3773.08,AMZN
fiftyTwoWeekHighChange,-611.07007,AMZN
fiftyTwoWeekHighChangePercent,-0.16195524,AMZN
fiftyTwoWeekLow,2707.04,AMZN
fiftyTwoWeekHigh,3773.08,AMZN
earningsTimestamp,1643904060,AMZN
earningsTimestampStart,1651089600,AMZN
earningsTimestampEnd,1651521600,AMZN
